Week,Google_Search,Google_Display,Meta,Instagram,YouTube,TV,Radio,Influencer,Affiliate,Email,Discount,Price,Temperature,Competitor_Spend,Holiday,Sales,Revenue,Orders
2023-01-02,63369,18112,149194,133393,122026,58736,290929,226208,21663,20622,0.0,841.0,20.7,156084,0,2081215,1614210,1759
2023-01-09,126981,269951,18912,299254,109248,224949,120574,150852,8407,88707,10.0,860.0,34.0,274177,0,2519691,2551617,3657
2023-01-16,150684,86516,117886,181472,58587,204191,55707,185331,143685,27780,5.0,928.0,25.2,272774,0,2988611,2615484,4278
2023-01-23,70444,203461,46313,294428,158709,105814,41466,124484,156722,46833,15.0,895.0,29.3,171368,0,2447867,2802229,3007
2023-01-30,204295,150738,242717,196277,90277,191264,114842,42435,94725,285043,15.0,916.0,24.4,193133,0,1895006,3370456,3375
2023-02-06,247357,203943,146530,297002,120141,34327,125087,170388,215325,145373,15.0,821.0,37.8,357429,0,3383128,1874995,2681
2023-02-13,169981,116477,266740,212425,245570,143873,78206,299318,287579,142752,15.0,829.0,20.0,246958,0,1729354,1845539,2630
2023-02-20,194790,119987,77525,272138,263744,29702,62487,88876,226333,38306,0.0,803.0,33.8,395620,1,2540876,1815617,2336
2023-02-27,250392,282408,136813,295049,11019,286527,144893,63485,158878,232942,20.0,808.0,37.7,388410,0,2114820,2373540,4295
2023-03-06,6701,143091,267451,98665,271171,161471,271161,85131,201038,89698,20.0,822.0,29.9,209916,0,2493850,2227083,3220
2023-03-13,5299,174951,261170,15211,63650,166225,130541,131286,46291,49907,20.0,876.0,18.6,136259,0,2111355,1896488,1757
2023-03-20,284291,70934,72314,254184,293255,143966,281653,116043,287746,110461,15.0,966.0,21.8,172969,0,3251011,3486943,3628
2023-03-27,200779,234690,276358,241708,68441,122806,38568,16028,295414,125646,5.0,812.0,21.5,180815,0,2713631,2218887,4185
2023-04-03,42220,35866,125031,40337,21469,42149,274565,151002,259496,117321,20.0,942.0,22.4,351257,0,2519527,2744360,4227
2023-04-10,252815,132400,252974,218416,104829,55819,230994,227077,220535,249855,10.0,982.0,30.3,288496,0,2460510,2137706,3823
2023-04-17,36778,216089,182892,62288,135367,104724,286168,78495,226187,101200,0.0,828.0,36.4,230144,0,1860158,3155214,2564
2023-04-24,135970,44523,237328,293528,56332,288423,12737,128930,92194,218078,10.0,799.0,21.0,123224,0,2104286,3114282,4963
2023-05-01,117065,215260,35741,91317,203691,209693,144042,154552,226777,296382,20.0,873.0,34.9,273852,1,2096392,2456147,2181
2023-05-08,104561,160560,119137,35662,289266,169419,34971,254974,268638,283463,0.0,978.0,36.8,151698,0,2992778,2622640,2668
2023-05-15,271248,47001,102425,40924,40631,216694,67855,25836,47982,224794,5.0,925.0,24.5,305066,0,3260206,2985016,4337
2023-05-22,141716,112090,169722,130140,144258,73617,162284,170767,43033,9883,15.0,983.0,37.2,112877,0,1838175,1998923,1978
2023-05-29,43409,286875,116754,270229,144041,187981,41066,198738,154415,87704,5.0,955.0,29.2,145012,0,2704866,1765234,3305
2023-06-05,163606,282317,9101,295771,161960,75407,143656,61117,295048,86499,5.0,899.0,29.8,279865,0,1930241,2679621,4396
2023-06-12,115430,184768,111743,143403,269979,136659,31633,227075,150060,28114,10.0,982.0,23.9,282609,0,2221099,1810261,3027
2023-06-19,73587,142340,89715,236649,294239,299076,10069,44449,83147,291046,20.0,810.0,37.0,337212,0,2619130,2132416,1997
2023-06-26,294682,82643,230332,71818,26930,196182,25916,115140,135825,58893,20.0,916.0,24.4,160337,0,3452593,2547353,4647
2023-07-03,218058,86030,129118,90197,97826,17995,99036,220856,135111,144883,0.0,926.0,20.1,186168,0,3445761,2171545,2139
2023-07-10,205562,25302,251777,121619,109633,188321,165007,121876,17406,106255,20.0,811.0,22.8,389359,0,2194745,2857368,4389
